Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"M Nishijima, S Pal",Can the Political Left Save the Rainforests? Impact of Leftist Mayors on Deforestation in the Brazilian Amazon,2024,,researchgate.net,https://www.researchgate.net/profile/Sarmistha-Pal-2/publication/370188448_Can_the_Political_Left_Save_the_Rainforests_Impact_of_Leftist_Mayors_on_Deforestation_in_the_Brazilian_Amazon/links/66e5ff3ba438c86fdcceca21/Can-the-Political-Left-Save-the-Rainforests-Impact-of-Leftist-Mayors-on-Deforestation-in-the-Brazilian-Amazon.pdf,,15,PDF,,,,,,,,0,0,0,2,1,"… of deforestation, annual deforestation changes, reforestation … right-wing rivals in close elections. The results suggest that … annual changes in deforestation, increased reforestation, and …",https://www.researchgate.net/profile/Sarmistha-Pal-2/publication/370188448_Can_the_Political_Left_Save_the_Rainforests_Impact_of_Leftist_Mayors_on_Deforestation_in_the_Brazilian_Amazon/links/66e5ff3ba438c86fdcceca21/Can-the-Political-Left-Save-the-Rainforests-Impact-of-Leftist-Mayors-on-Deforestation-in-the-Brazilian-Amazon.pdf,"https://scholar.google.com/scholar?q=related:JI7Nu-7FgjsJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
1,"ME Cisneros Tersitsch, K Kis-Katos, N Nuryartono",Palm oil and the politics of deforestation in Indonesia,2020,,econstor.eu,https://www.econstor.eu/handle/10419/214833,"https://scholar.google.com/scholar?cites=13727136755248819087&as_sdt=2005&sciodt=0,5&hl=en",17,,,,,,,,,1,0.2,0,3,5,"… Using a panel over 16 years, we show that deforestation is higher in the year before mayoral elections, and the same dynamics can be observed when focusing on the frequency of …",https://www.econstor.eu/bitstream/10419/214833/1/1692191497.pdf,"https://scholar.google.com/scholar?q=related:j2vQPyaWgL4J:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
12,"G Magalhães de Oliveira, JL Sellare, J Börner",Mind your language: political discourse affects deforestation in the Brazilian Amazon,2023,,econstor.eu,https://www.econstor.eu/handle/10419/283142,"https://scholar.google.com/scholar?cites=12016553351070285882&as_sdt=2005&sciodt=0,5&hl=en",19,,,,,,,,,12,6,4,3,2,"… Given the economic importance of agricultural production in the tropics, politicians may also reinforce the link to deforestation during and before elections in the interest of raising funds …",https://www.econstor.eu/bitstream/10419/283142/1/ZEF-DP-326.pdf,"https://scholar.google.com/scholar?q=related:OgATO5tfw6YJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
0,C Sharma,Deforestation in Indonesia: The Politics of Land Use Change Post Suharto,2019,,prism.ucalgary.ca,https://prism.ucalgary.ca/items/8b504cab-19eb-47fd-b837-ac9ed5fed86a,,21,,,,,,,,,0,0,0,1,6,… Although the annual rate of global deforestation is half of … deforestation annually and has shown no signs of improvement. This thesis explores some of the key drivers of deforestation in …,https://prism.ucalgary.ca/bitstreams/a60a1f1d-09e6-4794-bd90-d87d0c2c2048/download,"https://scholar.google.com/scholar?q=related:cB39zwPaIMUJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
1,J Njeru,""" Donor-driven"" Neoliberal Reform Processes,"" Democratization"" and the Production of Deforestation in Kenya: The Case of Karura and Oloolua Forests in …",2008,,search.proquest.com,https://search.proquest.com/openview/e9ff0784a59b4c21dfb2e3945f176f76/1?pq-origsite=gscholar&cbl=18750,"https://scholar.google.com/scholar?cites=10346437388209646064&as_sdt=2005&sciodt=0,5&hl=en",43,BOOK,,,,,,,,1,0.06,1,1,17,… This study concludes that the realities of electoral democracy and neoliberal economic reform in Kenya complicate simplistic views of the interactions between democratization and …,,"https://scholar.google.com/scholar?q=related:8GkOn_ztlY8J:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
3,NP Bakehe,The effect of democracy on environmental degradation: the case of deforestation in the Congo Basin.,2020,,cabidigitallibrary.org,https://www.cabidigitallibrary.org/doi/full/10.5555/20219821191,"https://scholar.google.com/scholar?cites=7851311120150586276&as_sdt=2005&sciodt=0,5&hl=en",59,,10.5555/20219821191,,,,,,,3,0.6,3,1,5,"… relationship between democracy and deforestation from a … level of democracy reduces the rate of deforestation for the … to explain the dynamics of deforestation, research must also …",,"https://scholar.google.com/scholar?q=related:pGOmod119WwJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
2,"R Salahodjaev, O Yuldashev, N Yusupov",Women parliamentarians and deforestation around the world,2016,,mpra.ub.uni-muenchen.de,https://mpra.ub.uni-muenchen.de/id/eprint/70718,"https://scholar.google.com/scholar?cites=12350124662431861297&as_sdt=2005&sciodt=0,5&hl=en",86,,,,,,,,,2,0.22,1,3,9,"… important antecedent of deforestation rates. Finally, we include controls for democracy index, … The coefficient of democracy index suggests that the rates of deforestation, on average, are …",https://mpra.ub.uni-muenchen.de/70718/1/MPRA_paper_70718.pdf,"https://scholar.google.com/scholar?q=related:McoKXPJ0ZKsJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
46,"N Walker, S Patel, F Davies, S Milledge, J Hulse",Demand-side interventions to reduce deforestation and forest degradation,2013,,iied.org,https://www.iied.org/sites/default/files/pdfs/migrate/13567IIED.pdf,"https://scholar.google.com/scholar?cites=12921559100840614933&as_sdt=2005&sciodt=0,5&hl=en",97,BOOK,,,,,,,,46,3.83,9,5,12,… products drives the majority of deforestation and forest degradation. The importance of trade and … to reduce incentives for deforestation driven by the expansion of commodity production. …,https://www.iied.org/sites/default/files/pdfs/migrate/13567IIED.pdf,"https://scholar.google.com/scholar?q=related:FRzSdYqZUrMJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
6,"PM Maina, S Juma",Impact of poor governance on deforestation in Africa,2018,,researchgate.net,https://www.researchgate.net/profile/Paul-Maina-Phd/publication/361024143_Impact_of_Poor_Governance_on_Deforestation_in_Africa/links/629868f2416ec50bdb03fcd8/Impact-of-Poor-Governance-on-Deforestation-in-Africa.pdf,"https://scholar.google.com/scholar?cites=9043237846861602733&as_sdt=2005&sciodt=0,5&hl=en",108,PDF,,,,,,,,6,0.86,3,2,7,… This paper is one of the empirical efforts to attempt to address the democracy–environment … shown that democracy and corruption influence environmental policies. Democracy could …,https://www.researchgate.net/profile/Paul-Maina-Phd/publication/361024143_Impact_of_Poor_Governance_on_Deforestation_in_Africa/links/629868f2416ec50bdb03fcd8/Impact-of-Poor-Governance-on-Deforestation-in-Africa.pdf,"https://scholar.google.com/scholar?q=related:rd-NmegIgH0J:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
180,C Palmer,The extent and causes of illegal logging: an analysis of a major cause of tropical deforestation in Indonesia,2001,,discovery.ucl.ac.uk,https://discovery.ucl.ac.uk/id/eprint/17588/,"https://scholar.google.com/scholar?cites=386348439565200180&as_sdt=2005&sciodt=0,5&hl=en",113,,,,,,,,,180,7.5,180,1,24,"… This paper considers the scale and underlying causes of recent high rates of deforestation in Indonesia. Its extent during 1997-98 is analysed using a materials balance model, the …",https://discovery.ucl.ac.uk/id/eprint/17588/1/17588.pdf,"https://scholar.google.com/scholar?q=related:NGvP29uVXAUJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025"
