"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","FullTextURL","RelatedURL","source_dataset","title_lower","unique_id"
"1",1,"J Njeru",""" Donor-driven"" Neoliberal Reform Processes,"" Democratization"" and the Production of Deforestation in Kenya: The Case of Karura and Oloolua Forests in …",2008,NA,"search.proquest.com","https://search.proquest.com/openview/e9ff0784a59b4c21dfb2e3945f176f76/1?pq-origsite=gscholar&cbl=18750","https://scholar.google.com/scholar?cites=10346437388209646064&as_sdt=2005&sciodt=0,5&hl=en",43,"BOOK",NA,NA,NA,NA,NA,NA,NA,1,0.06,1,1,17,"… This study concludes that the realities of electoral democracy and neoliberal economic reform in Kenya complicate simplistic views of the interactions between democratization and …",NA,"https://scholar.google.com/scholar?q=related:8GkOn_ztlY8J:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025","google",""" donor-driven"" neoliberal reform processes,"" democratization"" and the production of deforestation in kenya: the case of karura and oloolua forests in …","paper_1"
"2",0,"L.C. San Vicente","""The Most Mrecious Forest Jewel"": Mexican Conservationist thought at the Chapultepec Forest",2025,"Historia Ambiental Latinoamericana y Caribena",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105001521444&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105001521444&origin=inward",64,"Article","10.32991/2237-2717.2025v15i1.p52-79","2237-2717","https://api.elsevier.com/content/abstract/scopus_id/105001521444",15,"1",52,"79",0,0,0,1,1,NA,NA,NA,"scopus","""the most mrecious forest jewel"": mexican conservationist thought at the chapultepec forest","paper_2"
"3",15,"S. Niu","#TeamTrees: Investigating How YouTubers Participate in a Social Media Campaign",2021,"Proceedings of the ACM on Human-Computer Interaction",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85117967086&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85117967086&origin=inward",26,"Article","10.1145/3479593","2573-0142","https://api.elsevier.com/content/abstract/scopus_id/85117967086",5,NA,NA,NA,15,3.75,15,1,4,NA,NA,NA,"scopus","#teamtrees: investigating how youtubers participate in a social media campaign","paper_3"
"4",22,"J. Njeru","'Defying' democratization and environmental protection in Kenya: The case of Karura Forest reserve in Nairobi",2010,"Political Geography",NA,"https://api.elsevier.com/content/article/eid/1-s2.0-S0962629810001332","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77956647914&origin=inward",35,"Article","10.1016/j.polgeo.2010.07.003","0962-6298","https://api.elsevier.com/content/abstract/scopus_id/77956647914",29,"6",333,"342",22,1.47,22,1,15,NA,NA,NA,"scopus","'defying' democratization and environmental protection in kenya: the case of karura forest reserve in nairobi","paper_4"
"5",181,"B Sharpe","'First the forest': conservation,'community'and 'participation'in south-west Cameroon",1998,"Africa","cambridge.org","https://www.cambridge.org/core/journals/africa/article/first-the-forest-conservation-community-and-participation-in-southwest-cameroon/44E558E37EB2977A920F31C85D42A6F6","https://scholar.google.com/scholar?cites=11499857838215045640&as_sdt=2005&sciodt=0,5&hl=en",220,NA,NA,NA,NA,NA,NA,NA,NA,181,6.7,181,1,27,"… In such projects the ‘participation’ of the ‘community’ in forest conservation has become the new orthodoxy. However, proposals about local people's participation presume that defining …","https://discovery.ucl.ac.uk/id/eprint/32791/1/1161146.pdf","https://scholar.google.com/scholar?q=related:CKJMZsazl58J:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025","google","'first the forest': conservation,'community'and 'participation'in south-west cameroon","paper_5"
"6",0,"M.T. Fromm","'Great Northern Wilderness'-style environmentalism: Nature preservation and the legacies of Mao-era land reclamation in China's northeast borderland",2023,"Modern Asian Studies",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85151504095&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85151504095&origin=inward",128,"Article","10.1017/S0026749X22000543","0026-749X","https://api.elsevier.com/content/abstract/scopus_id/85151504095",57,"4",1198,"1218",0,0,0,1,2,NA,NA,NA,"scopus","'great northern wilderness'-style environmentalism: nature preservation and the legacies of mao-era land reclamation in china's northeast borderland","paper_6"
"7",46,"Ruparelia, S","'Minimum Government, Maximum Governance': The Restructuring of Power in Modi's India",2015,"SOUTH ASIA-JOURNAL OF SOUTH ASIAN STUDIES","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","http://dx.doi.org/10.1080/00856401.2015.1089974",NA,NA,"Article","10.1080/00856401.2015.1089974","0085-6401",NA,38,"4",755,"775",NA,NA,NA,NA,NA,"This article examines the politics of development during the first year of the new Modi government. In particular, it explores the meaning of its guiding maxim, Minimum Government, Maximum Governance', by analysing specific reforms and broader changes in state-society relations. First, the Modi government has imposed greater discipline in public administration through a personalistic, centralised and technocratic style of rule. But it has bolstered executive power by limiting political transparency, parliamentary government and social dissent. Second, the new government has promoted urbanisation, manufacturing and infrastructure through greater economic liberalisation, public investment and institutional reform. Yet it has weakened many labour protocols, environmental regulations and participatory mechanisms regarding land acquisition and forest conservation. Lastly, the Modi administration has introduced new insurance schemes and championed digitally-enabled cash transfers to deliver social entitlements. However, it has reduced public spending on primary education and basic health, and undercut many rights-based welfare acts introduced by the previous administration, the United Progressive Alliance (UPA). These three trends have narrowed the spaces of power and contestation in contemporary Indian democracy, frustrating the promise of maximum governance'.",NA,NA,"webofscience","'minimum government, maximum governance': the restructuring of power in modi's india","paper_7"
"8",18,"D Roy","'On the horns of a dilemma'! Climate change, forest conservation and the marginal people in Indian Sundarbans",2020,"Forum for Development Studies","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/08039410.2020.1786452","https://scholar.google.com/scholar?cites=1504264958790176406&as_sdt=2005&sciodt=0,5&hl=en",668,NA,"10.1080/08039410.2020.1786452",NA,NA,NA,NA,NA,NA,18,3.6,18,1,5,"… She has been working since long broadly on the theme ‘Theory and Practice in Indian Democracy’ and carried out ethnographic field work in rural India. She has taught sociology at the …","https://researchportal.helsinki.fi/files/156522203/Dayabati_Roy_on_climate_change.pdf","https://scholar.google.com/scholar?q=related:lo7BlAI54BQJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025","google","'on the horns of a dilemma'! climate change, forest conservation and the marginal people in indian sundarbans","paper_8"
"9",47,"J Tollefson","'Tropical Trump'sparks unprecedented crisis for Brazilian science",2019,"Nature","go.gale.com","https://go.gale.com/ps/i.do?id=GALE%7CA631145114&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=00280836&p=HRCA&sw=w","https://scholar.google.com/scholar?cites=1047214722388095981&as_sdt=2005&sciodt=0,5&hl=en",424,NA,NA,NA,NA,NA,NA,NA,NA,47,7.83,47,1,6,"… The reported rise in deforestation comes as no surprise to many scientists and environmentalists. Bolsonaro's presidential campaign … That's why we are seeing more deforestation."" …","https://scholar.google.com/scholar?output=instlink&q=info:7XOA2z10iA4J:scholar.google.com/&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025&scillfp=15890651652252471159&oi=lle","https://scholar.google.com/scholar?q=related:7XOA2z10iA4J:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025","google","'tropical trump'sparks unprecedented crisis for brazilian science","paper_9"
"10",0,NA,"19th Colloquium on Trees in Algebra and Programming, CAAP 1994",1994,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85010991024&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85010991024&origin=inward",42,"Conference Review",NA,"0302-9743","https://api.elsevier.com/content/abstract/scopus_id/85010991024",787,NA,1,"351",0,0,0,0,31,NA,NA,NA,"scopus","19th colloquium on trees in algebra and programming, caap 1994","paper_10"
