"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","FullTextURL","RelatedURL","source_dataset","title_lower","unique_id"
"1",5,"A. Ramos","The Amazon under Bolsonaro",2021,"Aisthesis",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85140215163&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85140215163&origin=inward",68,"Article","10.7764/Aisth.70.13","0568-3939","https://api.elsevier.com/content/abstract/scopus_id/85140215163",70,NA,287,"310",5,1.25,5,1,4,NA,NA,NA,"scopus","the amazon under bolsonaro","paper_1308"
"2",33,"Cisneros, E; Kis-Katos, K; Nuryartono, N","Palm oil and the politics of deforestation in Indonesia",2021,"JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT","ACADEMIC PRESS INC ELSEVIER SCIENCE","http://dx.doi.org/10.1016/j.jeem.2021.102453",NA,NA,"Article","10.1016/j.jeem.2021.102453","0095-0696",NA,108,NA,NA,NA,NA,NA,NA,NA,NA,"This paper studies the interactions between political and economic incentives to foster forest conversion in Indonesian districts. Using a district-level panel data set from 2001 to 2016, we analyze variation in remotely sensed forest losses as well as measures of land-use licensing. We link these outcomes to political incentives arising before idiosyncratically-timed local mayoral elections as well as to price exposure measures based on oil palm soil suitability combined with global price variations for palm oil. Empirical results document increases of about 4% in deforestation in the year prior to local mayoral elections on average. Additionally, palm oil plays a crucial role in driving deforestation dynamics. Deforestation rates increase by 7% in places that experience a one standard deviation increase in local price exposure, but no upcoming elections. These effects are amplified to almost 19% larger forest losses in places that experience pre-election years and a standard deviation higher palm oil price exposure at the same time. We thus find clear evidence for economic and political incentives reinforcing each other as drivers of forest loss and land conversion for oil palm cultivation. (C) 2021 The Authors. Published by Elsevier Inc.",NA,NA,"webofscience","palm oil and the politics of deforestation in indonesia","paper_1018"
"3",159,"DC Morton, RS DeFries, YE Shimabukuro…","Rapid assessment of annual deforestation in the Brazilian Amazon using MODIS data",2005,"Earth …","journals.ametsoc.org","https://journals.ametsoc.org/view/journals/eint/9/8/ei139.1.xml","https://scholar.google.com/scholar?cites=3287690959040730839&as_sdt=2005&sciodt=0,5&hl=en",168,"HTML",NA,NA,NA,NA,NA,NA,NA,159,7.95,40,4,20,"… Single-pixel deforestation clusters were removed based on the lower reliability of single-… Single-pixel deforestation clusters were removed based on the lower reliability of single-pixel …","https://journals.ametsoc.org/view/journals/eint/9/8/ei139.1.xml","https://scholar.google.com/scholar?q=related:19biIII5oC0J:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025","google","rapid assessment of annual deforestation in the brazilian amazon using modis data","paper_1125"
"4",13,"A. Zhouri","O ativismo transnacional pela Amazônia: Entre a ecologia política e o ambientalismo de resultados",2006,"Horizontes Antropologicos",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33748742533&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33748742533&origin=inward",50,"Article","10.1590/S0104-71832006000100008","0104-7183","https://api.elsevier.com/content/abstract/scopus_id/33748742533",12,"25",139,"169",13,0.68,13,1,19,NA,NA,NA,"scopus","o ativismo transnacional pela amazônia: entre a ecologia política e o ambientalismo de resultados","paper_1004"
"5",0,"T.G. Abebe","Exploring best soil conservation practices using the tolerable soil loss limit in central highland of Ethiopia: A case study of Andit Tid watershed",2025,"International Soil and Water Conservation Research",NA,"https://api.elsevier.com/content/article/eid/1-s2.0-S2095633925000012","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=105001074939&origin=inward",65,"Article","10.1016/j.iswcr.2025.01.001","2095-6339","https://api.elsevier.com/content/abstract/scopus_id/105001074939",13,"2",348,"361",0,0,0,1,1,NA,NA,NA,"scopus","exploring best soil conservation practices using the tolerable soil loss limit in central highland of ethiopia: a case study of andit tid watershed","paper_623"
"6",24,"Rydén, O; Zizka, A; Jagers, SC; Lindberg, SI; Antonelli, A","Linking democracy and biodiversity conservation: Empirical evidence and research gaps",2020,"AMBIO","SPRINGER","http://dx.doi.org/10.1007/s13280-019-01210-0",NA,NA,"Review","10.1007/s13280-019-01210-0","0044-7447",NA,49,"2",419,"433",NA,NA,NA,NA,NA,"Increasing human pressure threatens plant and animal species with extinction worldwide. National political institutions constitute an important arena for biodiversity conservation. Yet, the relationship between how democratic these national institutions are and a country's efforts towards and track-record for biodiversity conservation remains poorly understood. In this review, we outline the theoretical links between democracy and biodiversity conservation and review the empirical literature testing them. While more studies reported a positive than a negative relation between democracy and biodiversity conservation (15 vs. 11), the most common result was a mixed relationship (28), often conditioned on economic factors. The use of different proxies to measure biodiversity, including deforestation, protected areas, threatened species, and fishery statistics emerged as a primary obstacle for synthesis. We suggest overcoming this caveat together with a consistent definition of democratic institutions and a standardized statistical framework as research priorities to improve policies against the global biodiversity loss.",NA,NA,"webofscience","linking democracy and biodiversity conservation: empirical evidence and research gaps","paper_905"
"7",9,"L. Jimu","Fires in exotic forest plantations of Zimbabwe: Causes and management strategies",2018,"World Development Perspectives",NA,"https://api.elsevier.com/content/article/eid/1-s2.0-S2452292917302539","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85045577542&origin=inward",111,"Article","10.1016/j.wdp.2018.04.006","2452-2929","https://api.elsevier.com/content/abstract/scopus_id/85045577542",9,NA,56,"58",9,1.29,9,1,7,NA,NA,NA,"scopus","fires in exotic forest plantations of zimbabwe: causes and management strategies","paper_645"
"8",10,"Veettil, BK; Wickramasinghe, D; Amarakoon, V","Mangrove forests in Sri Lanka: An updated review on distribution, diversity, current state of research and future perspectives",2023,"REGIONAL STUDIES IN MARINE SCIENCE","ELSEVIER","http://dx.doi.org/10.1016/j.rsma.2023.102932",NA,NA,"Review","10.1016/j.rsma.2023.102932","2352-4855",NA,62,NA,NA,NA,NA,NA,NA,NA,NA,"Mangrove forests, which are well known for coastal protection and carbon sequestration, are a very productive ecosystem found in estuarine and coastal areas in tropical and subtropical latitudes. This study reviews the current status of mangrove ecology, management and conservation in Sri Lanka. In 2015, Sri Lanka became the first nation to legally protect all its mangrove forests; hence mangrove management in Sri Lanka may act as an important exemplar for other nations. Mangroves are found sporadically in the coastal area of Sri Lanka, including as a few dense mangrove forests. Mangrove vegetation provides a cost-effective ecosystem-based disaster risk reduction capability in Sri Lanka, particularly in the areas with poor living standards. Mangroves are used for timber, fishing materials, medicine and food in the country. Despite the environmental and socioeconomic importance of mangroves, several threats, including the expansion of aquaculture and agriculture, urbanization, pollution, climate change and sea level rise, exist in Sri Lanka. Many mangrove reforestation and afforestation initiatives in Sri Lanka have not succeeded, often because of the lack of sufficient monitoring of seedlings after the reforestation campaign and poor selection of planting sites without proper assessment of environmental conditions. In order to protect mangrove forests in Sri Lanka, some immediate measures need to be implemented. Proper planting of seedlings, community-based mangrove reforestation, sustainable aquaculture practices and proper legal enforcement are some of the important steps for the conservation of this highly productive ecosystem in the country.& COPY; 2023 Elsevier B.V. All rights reserved.",NA,NA,"webofscience","mangrove forests in sri lanka: an updated review on distribution, diversity, current state of research and future perspectives","paper_934"
"9",195,"EL Webb, NRA Jachowski, J Phelps, DA Friess…","Deforestation in the Ayeyarwady Delta and the conservation implications of an internationally-engaged Myanmar",2014,"Global Environmental …","Elsevier","https://www.sciencedirect.com/science/article/pii/S095937801300191X","https://scholar.google.com/scholar?cites=15782782794488001496&as_sdt=2005&sciodt=0,5&hl=en",280,NA,NA,NA,NA,NA,NA,NA,NA,195,17.73,39,5,11,"… affect deforestation rates. We use a novel remote sensing analysis to quantify deforestation rates for the Delta from 1978 to 2011, develop business-as-usual deforestation scenarios, …","https://www.burmalibrary.org/docs22/Webb_-_Deforestation_Ayearwaddy.pdf","https://scholar.google.com/scholar?q=related:2LOasFS1B9sJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025","google","deforestation in the ayeyarwady delta and the conservation implications of an internationally-engaged myanmar","paper_400"
"10",18,"M Karambiri, M Brockhaus","Leading rural land conflict as citizens and leaving it as denizens: Inside forest conservation politics in Burkina Faso",2019,"Journal of Rural Studies","Elsevier","https://www.sciencedirect.com/science/article/pii/S0743016718306144","https://scholar.google.com/scholar?cites=13970263832920563494&as_sdt=2005&sciodt=0,5&hl=en",465,"HTML",NA,NA,NA,NA,NA,NA,NA,18,3,9,2,6,"… We argue that forest conservation politics transcend the fold of the natural resources, shape … and reformed over shared residency, forest conservation and rural politics and how those …","https://www.sciencedirect.com/science/article/pii/S0743016718306144","https://scholar.google.com/scholar?q=related:Jp-3O_BY4MEJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025","google","leading rural land conflict as citizens and leaving it as denizens: inside forest conservation politics in burkina faso","paper_900"
