,unique_id,Cites,Authors,Title,title_lower,abstract,outcome_variable,treatment_variable,exp_methods,theoretical_interest,to_include,Source,inclusion_paloma,inclusion_rens,Publisher,Year,ArticleURL,CitesURL,GSRank,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,FullTextURL,RelatedURL,source_dataset
1,paper_1018,33,"Cisneros, E; Kis-Katos, K; Nuryartono, N",Palm oil and the politics of deforestation in Indonesia,palm oil and the politics of deforestation in indonesia,"This paper studies the interactions between political and economic incentives to foster forest conversion in Indonesian districts. Using a district-level panel data set from 2001 to 2016, we analyze variation in remotely sensed forest losses as well as measures of land-use licensing. We link these outcomes to political incentives arising before idiosyncratically-timed local mayoral elections as well as to price exposure measures based on oil palm soil suitability combined with global price variations for palm oil. Empirical results document increases of about 4% in deforestation in the year prior to local mayoral elections on average. Additionally, palm oil plays a crucial role in driving deforestation dynamics. Deforestation rates increase by 7% in places that experience a one standard deviation increase in local price exposure, but no upcoming elections. These effects are amplified to almost 19% larger forest losses in places that experience pre-election years and a standard deviation higher palm oil price exposure at the same time. We thus find clear evidence for economic and political incentives reinforcing each other as drivers of forest loss and land conversion for oil palm cultivation. (C) 2021 The Authors. Published by Elsevier Inc.",1,1,1,1,1,JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,1,1,ACADEMIC PRESS INC ELSEVIER SCIENCE,2021,http://dx.doi.org/10.1016/j.jeem.2021.102453,NA,NA,Article,10.1016/j.jeem.2021.102453,0095-0696,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,webofscience
2,paper_905,24,"Ryd√©n, O; Zizka, A; Jagers, SC; Lindberg, SI; Antonelli, A",Linking democracy and biodiversity conservation: Empirical evidence and research gaps,linking democracy and biodiversity conservation: empirical evidence and research gaps,"Increasing human pressure threatens plant and animal species with extinction worldwide. National political institutions constitute an important arena for biodiversity conservation. Yet, the relationship between how democratic these national institutions are and a country's efforts towards and track-record for biodiversity conservation remains poorly understood. In this review, we outline the theoretical links between democracy and biodiversity conservation and review the empirical literature testing them. While more studies reported a positive than a negative relation between democracy and biodiversity conservation (15 vs. 11), the most common result was a mixed relationship (28), often conditioned on economic factors. The use of different proxies to measure biodiversity, including deforestation, protected areas, threatened species, and fishery statistics emerged as a primary obstacle for synthesis. We suggest overcoming this caveat together with a consistent definition of democratic institutions and a standardized statistical framework as research priorities to improve policies against the global biodiversity loss.",1,1,1,1,1,AMBIO,1,1,SPRINGER,2020,http://dx.doi.org/10.1007/s13280-019-01210-0,NA,NA,Review,10.1007/s13280-019-01210-0,0044-7447,NA,49,2,419,433,NA,NA,NA,NA,NA,NA,NA,webofscience
3,paper_645,9,L. Jimu,Fires in exotic forest plantations of Zimbabwe: Causes and management strategies,fires in exotic forest plantations of zimbabwe: causes and management strategies,"Forest plantations†composed of†pines,†eucalypts†and†wattle†are threatened by wildfires that are responsible for an average annual loss of 700?ha. Communities neighbouring forest plantations and illegal settlers (estimated at?>3000) occupying some areas within plantations are the major sources of wildfires that enter into plantations. Strategies to tackle fire problems in plantations should focus on (1) improving law enforcement to deter illegal starting of fires; (2) address illegal settlement; (3) explore possibilities of community shareholding and out-grower schemes and, (4) institute and increase fire awareness campaigns.",1,0,0,0,0,World Development Perspectives,1,0,NA,2018,https://api.elsevier.com/content/article/eid/1-s2.0-S2452292917302539,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85045577542&origin=inward,111,Article,10.1016/j.wdp.2018.04.006,2452-2929,https://api.elsevier.com/content/abstract/scopus_id/85045577542,9,NA,56,58,9,1.29,9,1,7,NA,NA,scopus
4,paper_900,18,"M Karambiri, M Brockhaus",Leading rural land conflict as citizens and leaving it as denizens: Inside forest conservation politics in Burkina Faso,leading rural land conflict as citizens and leaving it as denizens: inside forest conservation politics in burkina faso,"Based on an empirical study of struggles concerning access to land and political inclusion (and exclusion) in the context of a forest conservation project in rural Burkina Faso, this paper analyses environmental politics through the lens of citizenship. In Centre-east Burkina Faso, a peasant resistance to a newly demarcated forest conservation zone turns into an identity and political conflict involving an international conservation organization, the state, decentralized and customary authorities. Based on shared history and residency, a new citizenship of migrants had emerged. These new citizens, finding their given lands within the new forest conservation area, rejected the project-proposed forest boundaries, put forward their citizenship entitlements and engaged in resistance. Eventually they also found themselves in conflict with their polity, lost their claims along with their still-fragile citizenship. Consequently, they were evicted from the forest and labelled as†les dÈguerpis,†denied citizenship and became†denizens. Beyond confirming the fragile, processual, nature of citizenship these findings also bear theoretical and conceptual implications, challenge the mainstream way environmental politics are analysed and suggest the need to understand political belonging and citizenship as the very basis of environmental struggles.",0,0,0,0,0,Journal of Rural Studies,1,1,Elsevier,2019,https://www.sciencedirect.com/science/article/pii/S0743016718306144,"https://scholar.google.com/scholar?cites=13970263832920563494&as_sdt=2005&sciodt=0,5&hl=en",465,HTML,NA,NA,NA,NA,NA,NA,NA,18,3,9,2,6,https://www.sciencedirect.com/science/article/pii/S0743016718306144,"https://scholar.google.com/scholar?q=related:Jp-3O_BY4MEJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025",google
5,paper_98,64,"TN Maraseni, N Bhattarai, BS Karky, T Cadman‚Ä¶",An assessment of governance quality for community-based forest management systems in Asia: Prioritisation of governance indicators at various scales,an assessment of governance quality for community-based forest management systems in asia: prioritisation of governance indicators at various scales,"Community-based forest management systems (CBFMS) are becoming increasingly popular in developing countries where 31% of the total forest is either managed or owned by the community. This paper presents the results of a four-country study conducted in 2017 in Nepal, Bhutan, India and Myanmar concerning the governance quality of CBFMS. The introduction outlines the global threat to forests, the contribution that forest-based emissions make to climate change, and the policy response of the international and national communities including REDD?+?. The next section provides a snapshot of CBFMS in the four case study countries, and is followed by an account of the methodology, approach, framework of analysis and sampling surveys undertaken during the course of, and informing, the research. The results of the surveys revealed that perceptions of governance quality, as well as governance priorities, varied between the countries, and also at the three levels of government (national, sub-national and local) within a country. For example, Myanmar and Bhutan had very high governance ratings from local levels compared to other levels, whereas, Nepal and India had similar ratings for all levels. Further, regarding the prioritisation of different indicators, Myanmar gave highest priority to ìinclusivenessî at the local level but ìdemocracyî at the national level. The reasons for the similarities and differences between and within these countries and the possible implications are discussed.",1,0,1,0,0,Land Use Policy,1,1,Elsevier,2019,https://www.sciencedirect.com/science/article/pii/S026483771831038X,"https://scholar.google.com/scholar?cites=7008743521898070280&as_sdt=2005&sciodt=0,5&hl=en",827,NA,NA,NA,NA,NA,NA,NA,NA,64,10.67,13,5,6,https://www.academia.edu/download/78962181/10.1016_j.landusepol.2018.11.044.pdf,"https://scholar.google.com/scholar?q=related:CAGOaBkPRGEJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025",google
6,paper_726,341,"JS Dryzek, H Stevenson",Global democracy and earth system governance,global democracy and earth system governance,"The issue of climate change confirms the global reach of earth system governance, whose legitimacy and effectiveness could gain from democratisation. While electoral democracy as practised in states provides no model for global democracy, lessons drawn from the performance and history of states prove helpful in identifying the elements that a well functioning ecological democracy ought to strive for. We capture these elements through reference to the idea of a deliberative system, and show how the idea of such a system can be used to analyse, evaluate, and provide prescriptions for the global governance of climate change.",0,1,0,1,2,Ecological economics,1,1,Elsevier,2011,https://www.sciencedirect.com/science/article/pii/S0921800911000498,"https://scholar.google.com/scholar?cites=9768454536370943527&as_sdt=2005&sciodt=0,5&hl=en",743,NA,NA,NA,NA,NA,NA,NA,NA,341,24.36,171,2,14,https://www.academia.edu/download/100025830/j.ecolecon.2011.01.02120230319-1-jrcein.pdf,"https://scholar.google.com/scholar?q=related:J3bxNKWFkIcJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025",google
7,paper_1103,483,"EY Arima, P Barreto, E Ara√∫jo, B Soares-Filho",Public policies can reduce tropical deforestation: Lessons and challenges from Brazil,public policies can reduce tropical deforestation: lessons and challenges from brazil,"Reducing carbon emissions from deforestation and forest degradation now constitutes an important strategy for mitigating climate change, particularly in developing countries with large forests. Given growing concerns about global climate change, it is all the more important to identify cases in which economic growth has not sparked excessive forest clearance. We address the recent reduction of deforestation rates in the Brazilian Amazon by conducting a statistical analysis to ascertain if different levels of environmental enforcement between two groups of municipalities had any impact on this reduction. Our analysis shows that these targeted, heightened enforcement efforts avoided as much as 10,653†km2†of deforestation, which translates into 1.44†◊†10?1†Pg†C in avoided emissions for the 3 y period. Moreover, most of the carbon loss and land conversion would have occurred at the expense of closed moist forests. Although such results are encouraging, we caution that significant challenges remain for Brazil's continued success in this regard, given recent changes in the forestry code, ongoing massive investments in hydro power generation, reductions of established protected areas, and growing demand for agricultural products.",1,0,0,0,0,Land use policy,1,1,Elsevier,2014,https://www.sciencedirect.com/science/article/pii/S026483771400146X,"https://scholar.google.com/scholar?cites=795596537245495716&as_sdt=2005&sciodt=0,5&hl=en",100,NA,NA,NA,NA,NA,NA,NA,NA,483,43.91,121,4,11,https://www.academia.edu/download/45878629/Public_policies_can_reduce_tropical_defo20160523-25983-1ky3cn9.pdf,"https://scholar.google.com/scholar?q=related:pHEM29WGCgsJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025",google
8,paper_1406,57,"SC Stonich, BR DeWalt",The political ecology of deforestation in Honduras,the political ecology of deforestation in honduras,Book. No abstract available,0,0,0,0,0,‚Ä¶ in anthropology: A reader in ecology ‚Ä¶,1,1,books.google.com,2006,https://books.google.com/books?hl=en&lr=&id=hz0TCgAAQBAJ&oi=fnd&pg=PA284&dq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&ots=fw3kcpQ3H0&sig=xPhTMpmVlfzr8AElUDqvVnq0R_M,"https://scholar.google.com/scholar?cites=11048578952559518692&as_sdt=2005&sciodt=0,5&hl=en",162,NA,NA,NA,NA,NA,NA,NA,NA,57,3,29,2,19,https://crabgrass.riseup.net/assets/356615/Nora+Haenn%2C+Richard+Wilk-The+Environment+in+Anthropology+A+Reader+in+Ecology%2C+Culture%2C+and+Sustainable+Living+%282005%29.pdf#page=295,"https://scholar.google.com/scholar?q=related:5OMq_ARwVJkJ:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025",google
9,paper_184,85,JC Sturgeon,"Border practices, boundaries, and the control of resource access: A case from China, Thailand and Burma","border practices, boundaries, and the control of resource access: a case from china, thailand and burma","This article traces border practices along boundaries that China and Thailand share with Burma. It portrays a spectrum of small border polities, from principalities on the fringes of Southeast Asian kingdoms, through Nationalist troops in Burma following their defeat in China, to ëdrug lordsí and ërebel armiesí. The focus here is on Akha village heads who have worked their connections in multiple directions, including into Burma, to position themselves as patrons controlling local resource access. With state appointment as border guardians, village heads become chiefs of new kinds of small border entities, protecting the border for the homeland while enabling certain illicit information, people, and goods to cross. In regions with a history of complex patronage relations, state efforts to control peripheral people, resources, and territories have in fact produced small border chiefs, with practices similar to those of frontier princes in the past.",0,0,0,0,0,Development and Change,1,0,Wiley Online Library,2004,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-7660.2004.00361.x,"https://scholar.google.com/scholar?cites=11452484537047475656&as_sdt=2005&sciodt=0,5&hl=en",897,NA,10.1111/j.1467-7660.2004.00361.x,NA,NA,NA,NA,NA,NA,85,4.05,85,1,21,https://www.academia.edu/download/54236122/j.1467-7660.2004.00361.x20170824-25700-1q6e6yv.pdf,"https://scholar.google.com/scholar?q=related:yGVeMgJm754J:scholar.google.com/&scioq=%22elections%22%7C%22democracy%22%7C%22leader+selection%22%7C%22campaign%22%7C%22political+cycle%22+%22deforestation%22%7C%22forest+conversion%22%7C%22forest+plantation%22%7C%22forest+conservation%22%7C%22forest+degradation%22%7C%22reforestation%22%7C%22forest+carbon%22%7C%22tree+cover+loss%22&hl=en&as_sdt=0,5&as_ylo=1990&as_yhi=2025",google
10,paper_4,22,J. Njeru,'Defying' democratization and environmental protection in Kenya: The case of Karura Forest reserve in Nairobi,'defying' democratization and environmental protection in kenya: the case of karura forest reserve in nairobi,"It had been assumed that the rise of multipartyism in sub-Saharan Africa in the late 1980s and 1990s would necessarily lead to better environmental management. Limited studies, mostly based on experiences in†southern Africa, suggest that the relationship between the environment and democratization in sub-Saharan Africa still remains an open question. Furthermore, democratization in sub-Saharan Africa has coincided with the implementation of neoliberal-inspired economic adjustment programs. So far, most discussions of the environmental effects of democratization in the region reflect studies of democratization and neoliberalization which tend to treat the two processes separately, failing to recognize their complex interconnections, both in their material and discursive dimensions. This paper is, therefore, an effort to broaden the discussion of the interactions between democratization and the environment in sub-Saharan Africa. Accordingly, the paper investigates the change in the protection of Karura Forest, a key public forest reserve in Nairobi, Kenya, during a period of multi-party politics and election and neoliberal economic reforms in the country in the early 1990s. The paper uses the urban political ecology perspective to help tease out the interactions between democratization and the environment, and highlights how neoliberalism may complicate those interactions. Ultimately, this paper supports cautionary observations about the environmental effects of democratization in sub-Saharan Africa.",1,1,0,1,2,Political Geography,1,1,NA,2010,https://api.elsevier.com/content/article/eid/1-s2.0-S0962629810001332,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77956647914&origin=inward,35,Article,10.1016/j.polgeo.2010.07.003,0962-6298,https://api.elsevier.com/content/abstract/scopus_id/77956647914,29,6,333,342,22,1.47,22,1,15,NA,NA,scopus
