Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,Y. Li,Wave propagation in a random dielectric rod array,2010,"2010 IEEE International Symposium on Antennas and Propagation and CNC-USNC/URSI Radio Science Meeting - Leading the Wave, AP-S/URSI 2010",NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78349297941&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78349297941&origin=inward,89,2025-04-16T06:11:00Z,Conference Paper,10.1109/APS.2010.5562288,NA,https://api.elsevier.com/content/abstract/scopus_id/78349297941,NA,NA,NA,NA,0,0,0,1,15,NA,NA,NA
7,G. Baldassarre,Assessment of the robust satellite technique (RST) in real time detection of summer fires,2009,"5th International Workshop on the Analysis of Multi-Temporal Remote Sensing Images 2009, MultiTemp 2009",NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78650922622&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78650922622&origin=inward,61,2025-04-16T06:11:00Z,Conference Paper,NA,NA,https://api.elsevier.com/content/abstract/scopus_id/78650922622,NA,NA,216,223,7,0.44,7,1,16,NA,NA,NA
2,K. Iwashita,Vegetation biomass change of the Bosoh Peninsula. Impacted by the volcano fumes from the Miyakejima,2006,Advances in Space Research,NA,https://api.elsevier.com/content/article/eid/1-s2.0-S0273117705000335,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33646047709&origin=inward,80,2025-04-16T06:11:00Z,Article,10.1016/j.asr.2004.12.071,0273-1177,https://api.elsevier.com/content/abstract/scopus_id/33646047709,37,4,734,740,2,0.11,2,1,19,NA,NA,NA
2,J.E. Ehiagbonare,"Forest regeneration, dereservation and management in Edo State, Nigeria",2008,African Journal of Biotechnology,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=58649115382&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=58649115382&origin=inward,79,2025-04-16T06:11:00Z,Review,NA,1684-5315,https://api.elsevier.com/content/abstract/scopus_id/58649115382,7,25,4973,4975,2,0.12,2,1,17,NA,NA,NA
15,N.A. Khan,A study of the indigenous medicinal plants and healing practices in Chittagong Hill Tracts (Bangladesh),2006,"African Journal of Traditional, Complementary and Alternative Medicines",NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33748741291&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33748741291&origin=inward,46,2025-04-16T06:11:00Z,Article,10.4314/ajtcam.v3i3.31165,0189-6016,https://api.elsevier.com/content/abstract/scopus_id/33748741291,3,3,37,47,15,0.79,15,1,19,NA,NA,NA
3,A. Azuela,Illegal logging and local democracy: Between communitarianism and legal fetishism,2006,Ambiente e Sociedade,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33750714036&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33750714036&origin=inward,74,2025-04-16T06:11:00Z,Review,10.1590/s1414-753x2006000100001,1414-753X,https://api.elsevier.com/content/abstract/scopus_id/33750714036,9,1,9,22,3,0.16,3,1,19,NA,NA,NA
69,J. Fjeldså,Illicit crops and armed conflict as constraints on biodiversity conservation in the Andes Region,2005,Ambio,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=20644449472&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=20644449472&origin=inward,19,2025-04-16T06:11:00Z,Article,10.1579/0044-7447-34.3.205,0044-7447,https://api.elsevier.com/content/abstract/scopus_id/20644449472,34,3,205,211,69,3.45,69,1,20,NA,NA,NA
0,A. Bystrom,Rowing to save a shoreline,2008,American Forests,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=51849162851&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=51849162851&origin=inward,97,2025-04-16T06:11:00Z,Article,NA,0002-8541,https://api.elsevier.com/content/abstract/scopus_id/51849162851,114,2,24,29,0,0,0,1,17,NA,NA,NA
0,D. Pouliot,Towards development of a remote sensing based coniferous regeneration monitoring system,2006,"American Society for Photogrammetry and Remote Sensing - 20th Biennial Workshop on Aerial Photography, Videography, and High Resolution Digital Imagery for Resource Assessment 2005",NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84867806307&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84867806307&origin=inward,88,2025-04-16T06:11:00Z,Conference Paper,NA,NA,https://api.elsevier.com/content/abstract/scopus_id/84867806307,NA,NA,88,95,0,0,0,1,19,NA,NA,NA
7,H. Reid,"Globalization, democracy and the aesthetic ecology of emergent publics for a sustainable world: Working from John Dewey",2006,Asian Journal of Social Science,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33645814608&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33645814608&origin=inward,62,2025-04-16T06:11:00Z,Article,10.1163/156853106776150135,1568-4849,https://api.elsevier.com/content/abstract/scopus_id/33645814608,34,1,22,46,7,0.37,7,1,19,NA,NA,NA
